id,display,category,categoryMedium_mv,categoryPublication_mv,country_mv,dateCataloged,dateModified,dateOrigin,dateOriginComment_mv,displayAddition1,displayAddition2,displayName,filterDigital,filterMedium_mv,filterSource,filterType_mv,note,noteContent_mv,publisherOriginalText_mv,schemaVersion,source,subjectOther_mv,textualHolding_mv,title,titleOther_text_mv,url,website_description_mv,website_url_mv
DBIS11565,Theaterlexikon der Schweiz / Andreas Kotte (Hg.),Digitale Nachschlagewerke,Online-Ressource,"Wörterbuch, Enzyklopädie, Nachschlagwerk",Schweiz,2020-08-18,2025-01-13,,,"Wörterbuch, Enzyklopädie, Nachschlagwerk",,,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Mit diesem Nachschlagewerk wird die schweizerische Theaterentwicklung dokumentiert. Das TLS bietet einen breiten thematischen, topographischen und personellen Überblick über die schweizerische Theaterlandschaft von den Anfängen bis zur Gegenwart.<br>
In rund 3.600 Artikeln werden Personen, Gruppen, Spielstätten und Institutionen der verschiedenen Theaterformen wie Stadttheater, Freie Gruppen, Amateur- und Volkstheater, Kinder- und Jugendtheater, Puppentheater, Musiktheater und Tanztheater erfasst. Sachartikel erläutern Theaterformen und Ereignisse des Schweizer Theaters in Vergangenheit und Gegenwart. Die Spezifika des Theaterschaffens in den vier Sprachregionen werden zum ersten Mal umfassend dokumentiert und in ihrem nationalen und internationalen Kontext dargestellt. 
<br>So ist ein viersprachiges Werk erstanden, das sowohl für Fachleute als auch für die theaterinteressierte Öffentlichkeit von grossem Nutzen sein wird. Die dreibändige illustrierte Buchausgabe des TLS ist 2005 im Chronos Verlag Zürich erschienen.",,0.16.0,AK,Schweiz␟Theater␟Theatergeschichte,,Theaterlexikon der Schweiz / Andreas Kotte (Hg.),Dictionnaire du Théâtre en Suisse␟Dizionario Teatrale Svizzero␟Lexicon da Teater Svizzer,https://www.dla-marbach.de/find/opac/id/DBIS11565,Zugang,http://tls.theaterwissenschaft.ch/wiki/Hauptseite
DBIS11566,Irish Film & TV Research Online,Digitale Nachschlagewerke,Online-Ressource,"Biographische Datenbank, Fachbibliographie, Wörterbuch, Enzyklopädie, Nachschlagwerk",Irland,2020-08-18,2025-01-13,,,"Biographische Datenbank, Fachbibliographie, Wörterbuch, Enzyklopädie, Nachschlagwerk",,,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Irish Film & Research Online ist eine Webseite, die einen Überblick zum einen über in Irland hergestellte Filme, zum anderen über Filme, die sich mit Irland beschäftigen, bietet. Drei Datenbanken werden in diesem Zusammenhang angeboten: „Irish Film & Television Index“, „Irish Film & Television Biographies“ und „Irish Film & Television Bibliography“.",,0.16.0,AK,Irland␟Film␟Fernsehen,,Irish Film & TV Research Online,,https://www.dla-marbach.de/find/opac/id/DBIS11566,Zugang,https://www.tcd.ie/creativearts/research/research-projects/irish-film-and-tv-research-online/
DBIS11579,British Armorial Bindings,Digitale Nachschlagewerke,Online-Ressource,"Bestandsverzeichnis, Sammlung Nicht-Textueller-Materialien, Faktendatenbank",Großbritannien,2020-08-18,2025-08-11,,,"Bestandsverzeichnis, Sammlung Nicht-Textueller-Materialien, Faktendatenbank",,University of Toronto Libraries,True,Datenbank,Digitale Nachschlagewerke,Daten,,Die Datenbank weist Wappenstempel britischer Eigentümer nach. Neben einer Beschreibung der Wappenstempel findet sich hier auch ein Lebenslauf des Stempelbesitzers sowie Angaben zu den dazugehörigen Werken mit Bestandsnachweis in den besitzenden Bibliotheken.,University of Toronto Libraries,0.16.0,AK,Großbritannien␟Bucheinband␟Supralibros␟Wappenstempel,,British Armorial Bindings,,https://www.dla-marbach.de/find/opac/id/DBIS11579,Zugang,http://armorial.library.utoronto.ca/
DBIS11607,Kürschners Deutscher Literatur-Kalender,Digitale Nachschlagewerke,Online-Ressource,"Wörterbuch, Enzyklopädie, Nachschlagwerk",,2020-08-18,2025-01-13,,,"Wörterbuch, Enzyklopädie, Nachschlagwerk",,,True,Datenbank,Digitale Nachschlagewerke,Daten,Für das DLA lizenziert ab Jahrgang 72 (2020/2021),Kürschners Deutscher Literatur-Kalender – seit über 130 Jahren die bewährte Dokumentation der zeitgenössischen deutschsprachigen Literaturszene – umfasst in seiner 68. Ausgabe Einträge zu ca. 12.000 Schriftstellerinnen und Schriftstellern.<br><a href=https://www.degruyter.com/view/serial/35734 target=_blank>Übersichtsseite aller Bände</a>,,0.16.0,AK,Literatur,,Kürschners Deutscher Literatur-Kalender,,https://www.dla-marbach.de/find/opac/id/DBIS11607,Zugang mit Authentifizierungsmechanismen (für das DLA lizenziert und im Intranet verfügbar),https://www.degruyter.com/view/serial/35734
DBIS11617,TV News Archive,Digitale Nachschlagewerke,Online-Ressource,"Sammlung Nicht-Textueller-Materialien, Faktendatenbank",,2020-08-18,2025-08-13,,,"Sammlung Nicht-Textueller-Materialien, Faktendatenbank",2009-01-01,,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Die Datenbank - ein Projekt des <i>Internet Archive</i> - enthält Nachrichtensendungen internationaler Programme, die seit 2009 gesammelt werden. Neue Inhalte werden laufend hinzugefügt (24 Std. nach Sendung), auch älteres Material wird ergänzt. Es gibt mehrere Suchmöglichkeiten und -indices, die Treffer erscheinen als Streamed Clips. Die vollständigen Sendungen sind allerdings nur als Leih-DVDs gegen Gebühr erhältlich.",,0.16.0,AK,Nachrichtensendung,2009-01-01,TV News Archive,früher: TV News Search &amp; Borrow,https://www.dla-marbach.de/find/opac/id/DBIS11617,Zugang,https://archive.org/details/tv
DBIS11622,Papakilo Database,Digitale Nachschlagewerke,Online-Ressource,Volltextdatenbank,Amerika␟USA,2020-08-18,2025-08-13,,,Volltextdatenbank,,The Office of Hawaiian Affairs,True,Datenbank,Digitale Nachschlagewerke,Daten,Zur Nutzung ist eine kostenlose Registrierung erforderlich!,"Die Datenbank “Papakilo” vom Office of Hawaiian Affairs (OHA) ist eine Übersichtsdatenbank  verschiedener Datensammlungen zur Geschichte und Kultur Hawaiis. Sie enthält Zeitungen, Karten, Reportagen, genealogische Register, Informationen zu historischen Orten, zur Landverteilung, Ortsnamen, multimediale Anwendungen und mehr. Digitalisate mit Volltextsuche.",The Office of Hawaiian Affairs,0.16.0,AK,Hawaii␟Geschichte␟Kultur␟Geographie,,Papakilo Database,Kukulu ka ike i ka opua,https://www.dla-marbach.de/find/opac/id/DBIS11622,Zugang,https://www.papakilodatabase.com/main/main.php
DBIS11630,Bibliotheca Laureshamensis – Digital,Digitale Nachschlagewerke,Online-Ressource,"Bestandsverzeichnis, Sammlung Nicht-Textueller-Materialien",Hessen,2020-08-18,2025-08-11,,,"Bestandsverzeichnis, Sammlung Nicht-Textueller-Materialien",,Universitätsbibliothek Heidelberg,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Die Datenbank stellt wissenschaftliche Beschreibungen und Digitalisate von Handschriften der ehemaligen Klosterbibliothek Lorsch bereit.<br />
Ziel des Projektes „Bibliotheca Laureshamensis – digital” war es, die Bibliothek des zum UNESCO-Welterbe erhobenen Klosters Lorsch virtuell wieder erstehen zu lassen. Über 330 mittelalterliche, hauptsächlich karolingische Handschriften sind heute noch erhalten und auf über 70 Bibliotheken weltweit verstreut.<br /><br />
Die angebotene Handschriften-SUCHE ermöglicht u.a. Recherchen nach Entstehungszusammenhängen, kodikologischen oder paläographischen Sachverhalten, aber auch gezielte Suchen nach Vorbesitzern, Autoren, Werken, Initien oder nach einer differenzierten Sacherschließung der Texte. Die Datenbank wurde mit der Software Koha realisiert und wird vom Bibliotheksservice-Zentrum Baden-Württemberg (BSZ) gehostet.",Universitätsbibliothek Heidelberg,0.16.0,AK,Kloster Lorsch␟Handschrift␟Katalog␟Digitalisierung,,Bibliotheca Laureshamensis – Digital,Virtuelle Klosterbibliothek Lorsch,https://www.dla-marbach.de/find/opac/id/DBIS11630,Zugang,https://hs-lorsch.bsz-bw.de/
DBIS11631,Thesaurus d'Épigraphie Islamique,Digitale Nachschlagewerke,Online-Ressource,"Sammlung Nicht-Textueller-Materialien, Volltextdatenbank",Alter Orient,2020-08-18,2025-10-29,,,"Sammlung Nicht-Textueller-Materialien, Volltextdatenbank",,Fondation Max van Berchem,True,Datenbank,Digitale Nachschlagewerke,Daten,Zur Nutzung der Datenbank ist eine kostenlose Registrierung erforderlich.,"Der Thesaurus dÉpigraphie Islamique - unterhalten von der Max-von-Berchem-Stiftung - verzeichnet islamische Inschriften aus den Maghreb-Staaten, der Arabischen Halbinsel, Zentralasien (ehem. Sowjetrepubliken), Ägypten, dem indischen Subkontinent, der Sub-Sahara, Irak und Westeuropa sowie aus Südostasien (Myanmar, Brunei, Kambodscha, China, Indonesien, Malaysia, Mongolei, Philippinen, Thailand und Vietnam). Er enthält ca. 23.000 epigraphische Beschreibungen von Inschriften und insgesamt mehr als 6.300 Photographien. Sämtliche Copyrights liegen bei der  Max-von-Berchem-Stiftung.",Fondation Max van Berchem,0.16.0,AK,Arabisch␟Persisch␟Türkisch␟Epigraphie␟Inschrift␟Islam,,Thesaurus d'Épigraphie Islamique,,https://www.dla-marbach.de/find/opac/id/DBIS11631,Zugang,http://www.epigraphie-islamique.uliege.be/thesaurus/
DBIS11636,DDR-Presse,Digitale Nachschlagewerke,Online-Ressource,Zeitung,Deutschland␟Deutschland (DDR),2020-08-18,2026-03-26,,,Zeitung,1945-05-21 - 1994-07-05,"Zentrum für Zeithistorische Forschung Potsdam (ZZF), Staatsbibliothek zu Berlin",True,Datenbank,Digitale Nachschlagewerke,Daten,"Zugriff entweder über die SBB Berlin oder über Shibboleth Login mit den Logindaten einer Wissenschaftseinrichtung. Weitere Informationen unter <a href=""https://zefys.staatsbibliothek-berlin.de/login/"">https://zefys.staatsbibliothek-berlin.de/login/</a>","Das Zeitungsportal Projekt DDR-Presse ist Teil des ZEitungsinFormationsYStems (ZEFYS) der Staatsbibliothek zu Berlin. Es wurden dabei folgende DDR-Tageszeitungen digitalisiert und im Volltext erschlossen:
<br />
<ul>
<li><a href=""https://dbis.uni-regensburg.de/resources/11264"">Neues Deutschland (ND) (23. April 1946 - 3. Oktober 1990)</a>,
</li><li><a href=""https://dbis.uni-regensburg.de/resources/11737"">Berliner Zeitung (BZ) (21. Mai 1945 - 31. Dezember 1993)</a>,
</li><li><a href=""https://dbis.uni-regensburg.de/resources/11931"">Neue Zeit (NZ) (22. Juli 1945 - 5. Juli 1994)</a>.
</li></ul>

Neben den digitalisierten Zeitungsausgaben werden vom Zentrum für Zeithistorische Forschung Potsdam (ZZF ) <a href=""https://dbis.uni-regensburg.de/resources/105655"">Einführungs- und Hintergrundtexte zum Pressesystem der DDR zur Verfügung gestellt</a>. Diese Beiträge und Materialien sind mit den Zeitungsausgaben verknüpft. So kann auf biographische Informationen und auf ein Glossar und Abkürzungsverzeichnis zur spezifisch ostdeutschen Mediensprache zugegriffen werden.",Zentrum für Zeithistorische Forschung Potsdam (ZZF)␟Staatsbibliothek zu Berlin,0.16.0,AK,Deutschland (DDR)␟Deutschland␟Zeitung,1945-05-21 - 1994-07-05,DDR-Presse,Neues Deutschland␟ND␟Berliner Zeitung␟BZ␟Neue Zeit␟NZ,https://www.dla-marbach.de/find/opac/id/DBIS11636,Zugang,https://zefys.staatsbibliothek-berlin.de/ddr-presse/
DBIS11639,Algemene Nederlandse Spraakkunst,Digitale Nachschlagewerke,Online-Ressource,Volltextdatenbank,,2020-08-18,2025-01-13,,,Volltextdatenbank,2002-01-01,Faculteit der Letteren van de Radboud Universiteit Nijmegen ; Nederlandse Taalunie,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Elektronische Version d. 2. herz. ed. der Algemene Nederlandse Spraakkunst (ANS) von W. Haeseryn, K. Romijn, G. Geerts, J. de Rooij und M. C. van den Toorn in Form einer Volltextdatenbank. Die ANS ist die vollständigste beschreibende Grammatik für die niederländische Sprache",Faculteit der Letteren van de Radboud Universiteit Nijmegen ; Nederlandse Taalunie,0.16.0,AK,Niederländisch␟Grammatik,2002-01-01,Algemene Nederlandse Spraakkunst,E-ANS,https://www.dla-marbach.de/find/opac/id/DBIS11639,Zugang,https://e-ans.ivdnt.org/
DBIS11673,Lugat-nama-i Dihhuda,Digitale Nachschlagewerke,Online-Ressource,"Wörterbuch, Enzyklopädie, Nachschlagwerk",,2020-08-18,2025-10-29,,,"Wörterbuch, Enzyklopädie, Nachschlagwerk",,Loghatnameh Dehkhoda Institute & International Center for Persian Studies,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Online-Ausgabe des von 1946-1973 in 50 Bänden erschienenen Persisch-Persischen Wörterbuches, das von Ali Akbar Dihhuda begründet und von Muhammad Muin abgeschlossen wurde und alle nach damaligen Stand der Wissenschaft bekannten persischen Lemmata behandelt, aber auch umfassende Einträge zur persischen Literatur, Sprache, Geschichte  und Geographie bietet.",Loghatnameh Dehkhoda Institute & International Center for Persian Studies,0.16.0,AK,Persisch␟Wörterbuch␟Iranistik␟Iran␟Literatur,,Lugat-nama-i Dihhuda,Lugatnama␟Persian Dictionary Dehkhoda␟Loghatname,https://www.dla-marbach.de/find/opac/id/DBIS11673,Zugang,https://www.parsi.wiki/
DBIS11685,Deutsche Digitale Bibliothek,Digitale Nachschlagewerke,Online-Ressource,"Portal, Volltextdatenbank",,2020-08-18,2025-06-24,,,"Portal, Volltextdatenbank",,,True,Datenbank,Digitale Nachschlagewerke,Daten,"<a href=""https://www.deutsche-digitale-bibliothek.de/content/help/"">Hilfe zur Deutschen Digitalen Bibliothek</a>","Ziel der Deutschen Digitalen Bibliothek (DDB) ist es, jedermann über das Internet freien Zugang zum kulturellen und wissenschaftlichen Erbe Deutschlands zu eröffnen, also zu Millionen von Büchern, Archivalien, Bildern, Skulpturen, Musikstücken und anderen Tondokumenten, Filmen und Noten. Als zentrales, nationales Portal soll die DDB perspektivisch die digitalen Angebote aller deutschen Kultur- und Wissenschaftseinrichtungen miteinander vernetzen.",,0.16.0,AK,Deutschland␟Archiv␟Bibliothek␟Museum␟Denkmalschutz␟Kultur␟Elektronische Bibliothek␟Elektronisches Buch␟Elektronische Zeitschrift,,Deutsche Digitale Bibliothek,DDB␟Kultur und Wissen Online,https://www.dla-marbach.de/find/opac/id/DBIS11685,Zugang,https://www.deutsche-digitale-bibliothek.de/
DBIS11709,Kant-Forschungsstelle,Digitale Nachschlagewerke,Online-Ressource,Fachbibliographie,Deutschland,2020-08-18,2025-01-13,,,Fachbibliographie,,,True,Datenbank,Digitale Nachschlagewerke,Daten,,"Die Kant-Forschungsstelle an der Johannes Gutenberg-Universität Mainz widmet sich der Erforschung der Kritischen Philosophie Immanuel Kants in ihrer gesamten Breite. Besondere Bedeutung wird der Bestimmung ihres historischen Kontextes, ihrer Rezeption sowie ihrer systematischen Relevanz für die philosophischen Debatten der Gegenwart beigemessen.

An der Forschungsstelle ist die Redaktion der Kant-Studien und der Kantstudien-Ergänzungshefte angesiedelt. Sie steht in enger Verbindung zur Kant-Gesellschaft e.V. Bonn und pflegt einen intensiven Austausch mit den anderen nationalen Kant-Gesellschaften sowie mit Kant-Forschern aus aller Welt [Quelle: <a href=http://www.kant.uni-mainz.de/Welcome.html>Kant-Forschungsstelle</a>]",,0.16.0,AK,Kant␟Immanuel,,Kant-Forschungsstelle,,https://www.dla-marbach.de/find/opac/id/DBIS11709,Zugang,https://www.philosophie.fb05.uni-mainz.de/forschungsstellen-und-weitere-einrichtungen/fs_kant/
