id	noteFootnote_text_mv	parent_id_mv	parent_type_mv	title
AK00000053				Zeitschrift
AK00000054	Bestandsübersicht - vorhandene Bände/Hefte und Signaturen <===␟1.1918/19 : X	AK00000053	Bestandsangabe	Bestandsangabe einer Zeitschriftenaufnahme (übertragen und löschen)
